id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
3115,GMMX,medium_airport,"Menara Airport",31.606899261499997,-8.03629970551,1545,AF,Morocco,MA,"Marrakech Province",MA-MAR,MAR,Marrakech,1,GMMX,RAK,,,https://en.wikipedia.org/wiki/Menara_International_Airport,"Marakesh, Marrakesh",750,2010-08-30T13:16:22+00:00
3113,GMMN,large_airport,"Mohammed V International Airport",33.3675,-7.58997,656,AF,Morocco,MA,"Casablanca Province",MA-CAS,CAS,Casablanca,1,GMMN,CMN,,http://www.onda.ma/ONDA/Fr/Espaces/EspacePassagers/LeReseauAeroportuaireONDA/Lesaeroports/Fiches+d%E2%80%99identit%C3%A9+par+a%C,https://en.wikipedia.org/wiki/Mohammed_V_International_Airport,"CAS, Casabianca, Nouasseur",1200,2023-12-04T20:37:30+00:00
3101,GMAD,medium_airport,"Al Massira Airport",30.322478,-9.412003,250,AF,Morocco,MA,"Agadir Province",MA-AGD,AGD,"Agadir (Temsia)",1,GMAD,AGA,,,https://en.wikipedia.org/wiki/Al_Massira_Airport,,750,2021-03-08T11:22:40+00:00
3121,GMTT,medium_airport,"Tangier Ibn Battuta Airport",35.731741,-5.921459,62,AF,Morocco,MA,"Tanger Province",MA-TNG,TNG,Tangier,1,GMTT,TNG,,,https://en.wikipedia.org/wiki/Tangier_Ibn_Battouta_Airport,"Tanger-Boukhalef Airport, Aéroport de Tanger-Ibn Battouta",500,2022-09-13T14:35:40+00:00
3109,GMME,medium_airport,"Rabat-Salé Airport",34.051498,-6.75152,276,AF,Morocco,MA,"Rabat-Salé Province",MA-RBA,RBA,Rabat,1,GMME,RBA,,,https://en.wikipedia.org/wiki/Sale_Airport,,750,2018-01-22T07:39:39+00:00
3103,GMFF,medium_airport,"Fes Saïss International Airport",33.927299,-4.97796,1900,AF,Morocco,MA,"Fès Province",MA-FES,FES,Saïss,1,GMFF,FEZ,,,https://en.wikipedia.org/wiki/Sa%C3%AFss_Airport,,750,2022-09-13T14:40:59+00:00
3107,GMFO,medium_airport,"Oujda Angads Airport",34.789558,-1.926041,1535,AF,Morocco,MA,"Oujda Province",MA-OUJ,OUJ,"Ahl Angad",1,GMFO,OUD,,,https://en.wikipedia.org/wiki/Angads_Airport,"Oujda Airfield",750,2022-09-13T14:05:13+00:00
3117,GMMZ,medium_airport,"Ouarzazate Airport",30.9391002655,-6.909430027010001,3782,AF,Morocco,MA,"Ouarzazate Province",MA-OUA,OUA,Ouarzazate,1,GMMZ,OZZ,,,https://en.wikipedia.org/wiki/Ouarzazate_Airport,,750,2010-08-31T22:08:55+00:00
3111,GMMI,medium_airport,"Essaouira-Mogador Airport",31.397499,-9.68167,384,AF,Morocco,MA,"Essaouira Province",MA-ESI,ESI,Essaouira,1,GMMI,ESU,,,https://en.wikipedia.org/wiki/Essaouira-Mogador_Airport,,500,2021-11-22T13:59:11+00:00
3114,GMMW,medium_airport,"Nador Al Aaroui International Airport",34.9888,-3.02821,574,AF,Morocco,MA,"Nador Province",MA-NAD,NAD,"Al Aaroui",1,GMMW,NDR,,,https://en.wikipedia.org/wiki/Nador_International_Airport,"Al Aroui International Airport, Arwi",750,2022-09-13T14:09:23+00:00
